pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
HD 77946 b,6.527363,413.1008,1128.86,2.89646124,10.9,0.211,6007.0,0.215,0,,413.1008,0,0.44856288290859536,873.8599999999999,F,False,False,False,False,0.2314
LHS 1478 b,1.9495378,23.3722,595.0,1.242,2.33,0.0526,3381.0,-0.13,0,0.35281162,23.3722,0,1.2161611714157938,340.0,M,False,False,False,True,0.5179
TOI-5143 c,5.2097118,158.1646,904.48,16.25302201,143.00455663,0.0175399999999999,5183.0,0.107,0,,158.1646,0,0.033307919425091245,649.48,K,False,False,True,False,0.183
TOI-815 c,34.976145,8.03,469.0,2.62,23.5,0.22,4869.0,-0.09,0,,8.03,0,1.3066641875262166,214.0,K,False,False,True,False,0.4671
TIC 67686059 b,3.52163529551,190.86258,948.6,2.59125922,7.23,0.0,5090.09,0.0767,0,,190.86258,0,0.4155331882194177,693.6,K,False,False,True,False,0.2889
WASP-171 b,3.8186244,1200.24,1642.0,10.98482,344.52772,0.0,5965.0,0.04,0,0.080229555,1200.24,0,0.25992337381333985,1387.0,G,True,False,False,False,0.0987
Kepler-80 c,9.52355,36.482,495.0,2.74,6.74,0.0079,4540.0,0.04,0,0.26569456,36.482,0,0.3276485181147823,240.0,K,False,False,True,False,0.4683
HATS-49 b,4.1480467,80.45,834.8,8.574885,112.19399,0.071,4405.0,0.208,0,0.11187635,80.45,0,0.17794454555439634,579.8,K,False,False,True,False,0.2186
EPIC 206317286 b,1.58252,106.7322,1011.928,0.96,0.84,0.022,4752.0,0.019,0,0.29588044,106.7322,0,0.9494357638888891,756.928,K,False,False,True,False,0.3652
Kepler-925 b,33.8678531,5.833,394.0,2.34,6.08,0.0,4673.0,0.12,0,0.41203109,5.833,0,0.4745216228889252,139.0,K,False,False,True,False,0.615
HD 73267 b,1257.99159,0.1577,165.89,13.0,1321.53051631,0.261,5387.0,0.03,0,0.2089638,0.1577,0,0.601515938238507,89.11000000000001,G,True,False,False,False,0.2725
Kepler-1631 b,4.09513932,446.918,1122.0,1.35,2.39,0.0,5679.0,0.04,0,0.28885976,446.918,0,0.9713966366915612,867.0,G,True,False,False,False,0.2834
Kepler-1893 b,4.179369926,478.98,1194.0,1.70557445,3.55,0.0,5633.0,0.16,0,0.27172515,478.98,0,0.7155109894763658,939.0,G,True,False,False,False,0.2585
KELT-12 b,5.031623,1749.0,1800.0,19.95202,301.9385,0.0,6279.0,0.19,0,0.047133609,1749.0,0,0.03801525244042336,1545.0,F,False,False,False,False,0.0882
HD 63433 b,7.1079475,145.5707,967.11,2.14,21.755,0.24,5553.0,-0.07,0,0.25617585,145.5707,0,2.2198200389700604,712.11,G,True,False,False,False,0.2576
HD 72892 b,39.44603,26.9314,634.46,12.8,1737.88572948,0.419,5688.0,0.25,0,0.10425891,26.9314,0,0.8286884925270078,379.46000000000004,G,True,False,False,False,0.1867
Kepler-1139 b,0.813166719,1717.276,1693.0,1.19,1.81,0.0,5550.0,0.05,0,0.29105328,1717.276,0,1.074082623657471,1438.0,G,True,False,False,False,0.2032
HD 149806 b,16521.52778,0.0037,69.13,12.3,4003.68444298,0.357,5352.05,0.2206,0,0.076304668,0.0037,0,2.1515156338308965,185.87,G,True,False,False,False,0.1111
Kepler-231 b,10.065275,14.879,488.0,1.73,35.4,0.0,3767.0,-0.1,0,0.3446446,14.879,0,6.836990125184517,233.0,M,False,False,False,True,0.4221
